Row,FICE,Name,Postal,Indicator,Average Math SAT Score,Average Verbal SAT Score,Average Combined SAT Score,Average ACT Score,First Quartile Math SAT,Third Quarter Math SAT,First Quartile Verbal SAT,Third Quartile Verbal SAT,First Quartile ACT,Third Quartile ACT,Number of Applications Received,Number of Applicants Accepted,Number of New Students Enrolled,Top 10 percent HS,Top 25 percent HS,Number of Fulltime Undergrad,Number of Parttime Undergrad,In-State Tuition,Out-State Tuition,Room and Board Costs,Room Costs,Board Costs,Additional Fees,Estimated Book Costs,Estimated Personal Spending,Percent of Faculty with Ph.D,Percent of Faculty with Terminal Degree,Student Faculty Ratio,Percent Alumni Donate,Instructional Expenditure per Student,Graduation Rate
11,1016,University of North Alabama,AL,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1087,702,625,NaN,40,3772,1034,1704,2970,2536,1336,1200,20,500,NaN,62,68,19.4,5,4944,76
12,1019,Huntingdon College,AL,2,513,446,959,23,480,570,400,530,20,24,608,520,127,26,47,538,126,8080,8080,3920,1380,2540,100,500,1100,63,72,11.4,9,7703,44
13,1020,Jacksonville State University,AL,1,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,17,22,1627,1413,887,NaN,NaN,5160,1475,1740,2610,2600,1030,1570,85,570,1500,66,67,20.1,6,4604,33
14,1023,Judson College,AL,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,19,24,313,228,137,10,30,552,67,5780,5780,3600,NaN,NaN,NaN,NaN,NaN,70,70,17.9,27,5159,43
15,1024,Livingston University,AL,1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,16,21,1206,957,444,NaN,NaN,1627,132,1740,1740,2449,1162,1287,243,570,2100,58,58,18.8,4,4272,36
16,1028,Miles College,AL,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,686,427,242,NaN,NaN,746,123,4000,4000,2700,1250,1450,NaN,600,1000,35,NaN,16.7,2,4455,15
17,1029,University of Mobile,AL,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,452,331,269,17,54,1417,301,6150,6150,3680,NaN,NaN,70,550,1200,59,63,16.6,4,5412,52
18,1033,Oakwood College,AL,2,382,378,760,17,NaN,NaN,NaN,NaN,NaN,NaN,949,605,385,NaN,NaN,1316,135,6639,6639,3999,NaN,NaN,368,600,2500,52,52,14.5,12,7986,NaN
19,1036,Samford University,AL,2,NaN,NaN,NaN,NaN,485,585,445,545,22,28,1680,1395,691,34,76,2959,402,8236,8236,3700,3700,NaN,NaN,569,1650,74,75,14.7,17,9533,61
20,1041,Spring Hill College,AL,2,525,480,990,24,480,550,430,520,22,26,773,694,230,NaN,NaN,942,224,11478,11478,4788,2450,2338,645,500,900,80,89,14.4,23,8594,70
21,1044,Stillman College,AL,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629,614,248,NaN,NaN,866,22,4460,4460,2754,1683,1071,100,600,1000,47,47,14.3,NaN,5031,47
22,1046,Talladega College,AL,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4414,1500,335,30,60,908,119,5666,5666,2964,1424,1540,418,1000,1400,56,58,15.5,7,5970,46
23,1047,Troy State University at Troy,AL,1,510,470,980,20,350,480,380,550,18,24,1471,1281,824,18,67,4343,990,1697,2883,2570,1450,1120,75,300,NaN,50,50,23,NaN,4295,48
24,1050,Tuskegee University,AL,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2267,1827,611,20,59,2825,144,6735,6735,3395,3395,NaN,NaN,600,1425,70,74,12.2,7,10872,65
25,1051,University of Alabama at Tuscaloosa,AL,1,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,20,25,7593,5972,2682,NaN,57,13780,1599,2172,5424,3530,1600,1930,NaN,580,1654,80,91,17.3,29,6426,50
26,1052,University of Alabama at Birmingham,AL,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,18,24,1797,1260,938,24,35,6960,4698,2220,4440,5175,1935,3240,291,750,2200,96,96,6.7,16,16352,33
27,1055,University of Alabama at Huntsville,AL,1,542,468,1010,24,470,610,390,530,21,26,1376,957,445,NaN,57,2727,3394,2480,4960,3500,2500,1000,NaN,600,2100,83,88,12.7,12,8863,38
28,1057,University of South Alabama,AL,1,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,19,24,2328,2110,1047,NaN,NaN,7516,2943,2208,3108,2850,1530,1320,183,480,1470,80,80,13.3,NaN,8667,43
29,8310,Auburn University at Montgomery,AL,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,985,868,645,NaN,NaN,3477,1929,1905,5715,4430,1650,2780,NaN,600,2500,74,76,18.1,NaN,4792,42
30,1085,University of Arkansas at Monticello,AR,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,826,794,662,NaN,NaN,4539,357,1536,3552,2310,840,1470,84,500,2800,54,54,42.6,NaN,2033,NaN
31,1086,University of Arkansas at Pine Bluff,AR,1,368,326,694,16,NaN,NaN,NaN,NaN,NaN,NaN,1450,1360,744,NaN,NaN,2993,1020,1392,3216,2328,2328,NaN,143,450,NaN,47,48,16.2,NaN,4618,NaN
32,1088,Arkansas College (Lyon College),AR,2,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,22,27,708,334,166,46,74,530,182,8644,8644,3922,2382,1540,120,500,800,79,88,12.6,24,14579,54
33,1089,Arkansas Tech University,AR,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,18,24,1734,1729,951,12,52,3602,939,1730,3460,2650,NaN,NaN,60,450,1000,57,60,19.6,5,4739,48
34,1090,Arkansas State University,AR,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,18,24,2688,2633,1488,NaN,NaN,7212,1707,1800,3720,2580,NaN,NaN,130,500,NaN,71,73,20,9,5128,39
35,1092,University of Central Arkansas,AR,1,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,18,25,3131,2703,1792,NaN,47,7402,1119,1700,3274,2600,1440,1160,126,600,1761,71,72,20.5,10,4252,36
36,1094,University of the Ozarks,AR,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,21,218,215,126,15,55,570,59,4800,4800,2850,1650,1200,120,400,2000,49,51,12.8,NaN,8177,NaN
37,1098,Henderson State University,AR,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,22,1490,1490,771,21,47,2942,997,1440,2880,2400,2400,NaN,80,500,NaN,58,58,19,12,4540,68
38,1099,Hendrix College,AR,2,564,525,1089,26,490,620,460,580,23,28,823,721,274,52,87,954,6,8800,8800,3195,1935,1260,325,500,1200,82,99,13.1,26,8588,63
39,1100,John Brown University,AR,2,509,484,993,23,450,600,440,600,20,27,605,405,284,24,53,961,99,6398,6398,3672,1450,2222,148,400,1350,68,68,13.3,19,8118,75
40,1101,University of Arkansas at Little Rock,AR,1,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,17,22,1766,1322,1194,NaN,NaN,5753,4058,2136,5352,2435,2435,NaN,166,800,800,61,77,14.7,4,4724,19
41,1102,Ouachita Baptist University,AR,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,26,910,773,450,31,73,1310,61,6530,6530,2800,2800,NaN,100,500,1500,63,67,13.3,10,6413,65
42,1103,Philander Smith College,AR,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,350,350,222,12,23,701,239,2370,2370,1260,630,630,NaN,NaN,NaN,41,41,18.1,NaN,NaN,NaN
43,1106,Williams Baptist College,AR,2,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,17,22,220,210,131,12,34,509,97,3952,3952,2292,NaN,NaN,150,400,600,62,62,18,NaN,4061,NaN
44,1107,Southern Arkansas University,AR,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,792,792,499,26,45,2229,270,1500,2340,2240,NaN,NaN,NaN,400,NaN,40,74,17,NaN,4653,33
45,1108,University of Arkansas at Fayetteville,AR,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,26,3235,3108,2133,25,65,9978,1530,1932,5028,3300,3300,NaN,122,500,2000,73,89,14.8,10,6820,39
46,10311,Harding University,AR,2,530,490,1020,24,NaN,NaN,NaN,NaN,20,28,1721,1068,806,35,75,3128,213,5504,5504,3528,1650,1878,1016,700,910,71,77,17.7,37,6466,73
47,1074,Grand Canyon University,AZ,2,485,441,926,22,420,550,380,500,19,24,497,393,169,NaN,NaN,1364,454,6870,6870,3100,NaN,NaN,370,400,1125,56,60,14.2,NaN,6219,81
48,1081,Arizona State University Main campus,AZ,1,521,453,974,23,450,590,390,500,20,25,12809,10308,3761,24,49,22593,7585,1828,7434,4850,NaN,NaN,66,700,2100,88,93,18.9,5,4602,48
49,1082,Northern Arizona University,AZ,1,495,444,939,22,420,560,380,500,19,24,5891,4931,1973,23,48,11249,2682,1828,6746,3728,1890,1838,66,620,2342,78,83,21.7,7,6157,41
50,1083,University of Arizona,AZ,1,526,462,983,23,450,600,400,520,20,26,14079,12238,4529,29,57,21664,4894,1828,7434,4216,2186,2030,66,620,2550,91,95,19.6,NaN,9683,49
51,29022,Prescott College,AZ,2,NaN,NaN,1000,23,NaN,NaN,NaN,NaN,NaN,NaN,321,227,129,NaN,NaN,693,40,9800,9800,NaN,NaN,NaN,495,400,3522,55,58,2.3,NaN,6562,NaN
52,1117,Azusa Pacific University,CA,2,474,428,902,21,410,560,380,490,19,24,1080,948,504,25,56,2032,122,15500,15500,3700,1900,1800,206,250,750,47,60,12.8,7,9627,NaN
53,1122,Biola University,CA,2,500,440,940,22,425,590,400,550,18,26,1118,896,459,NaN,NaN,2058,111,11388,11388,4546,1984,2562,NaN,1000,NaN,67,67,16.6,15,9329,36
54,1125,California Baptist College,CA,2,441,395,836,19,NaN,NaN,NaN,NaN,NaN,NaN,308,262,157,NaN,44,592,113,6370,6370,3894,1800,2094,370,NaN,NaN,56,63,13,NaN,8554,43
55,1131,California Institute of Technology,CA,2,750,660,1410,NaN,740,780,610,700,NaN,NaN,1916,507,210,98,100,912,NaN,16695,16695,5051,NaN,NaN,210,735,3466,100,100,6.5,36,62469,83
56,1133,California Lutheran University,CA,2,495,436,931,21,430,560,370,490,19,24,563,247,247,23,52,1427,432,12950,12950,5300,5300,NaN,215,612,576,72,74,12.4,17,8985,60
57,1137,California State Univ. at Fullerton,CA,1,476,395,871,21,400,540,330,450,17,23,6004,4480,1470,NaN,NaN,12147,6681,1606,8990,3476,3476,NaN,1606,600,NaN,88,93,19.9,NaN,6288,56
58,1138,California State Univ. at Hayward,CA,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2121,698,1126,NaN,NaN,6790,2988,1432,8803,2550,2550,NaN,NaN,450,NaN,NaN,NaN,20.5,NaN,7237,47
59,1139,California State Univ. at Long Beach,CA,1,456,382,838,21,NaN,NaN,NaN,NaN,NaN,NaN,10278,7746,2576,NaN,NaN,NaN,NaN,1053,8233,4400,4400,NaN,NaN,NaN,NaN,80,83,20.3,NaN,5382,48
60,1140,California State Univ. at Los Angeles,CA,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5609,2756,1268,NaN,NaN,9358,5222,1788,7454,2900,2900,NaN,119,577,NaN,53,58,20.4,NaN,8145,49
61,1141,California State Univ. at Dominguez Hills,CA,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1493,1194,428,NaN,NaN,4246,2457,1440,8820,2116,NaN,2116,NaN,NaN,NaN,90,90,18.1,NaN,8257,24
62,1142,California State Univ. at San Bernardino,CA,1,440,399,839,NaN,370,500,340,460,NaN,NaN,2329,1619,1521,NaN,NaN,6609,4398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,100,20.3,NaN,6654,49
63,1143,California Polytechnic-San Luis,CA,1,547,455,1002,21,300,700,300,600,17,26,7811,3817,1650,47,73,12911,1404,2033,7380,4877,2335,2542,20,612,2091,72,81,19.8,13,8453,59
64,1144,California Poly-Pomona,CA,1,NaN,NaN,NaN,NaN,420,570,320,460,17,24,5945,3887,1566,NaN,60,11177,4027,NaN,5904,4862,2499,2363,1720,630,2430,73,76,18.5,7,7867,50
65,1146,California State University at Chico,CA,1,479,420,899,21,420,540,370,480,18,23,4816,3922,1278,NaN,75,11822,1343,NaN,5904,5050,2020,3030,1982,612,2100,NaN,NaN,18.9,5,7798,63
66,1147,California State University at Fresno,CA,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4540,3294,1483,5,60,13494,1254,1802,7706,4368,NaN,NaN,NaN,600,1926,90,90,21.2,8,7268,61
67,1149,Humboldt State University,CA,1,501,455,956,22,NaN,NaN,NaN,NaN,NaN,NaN,3467,2190,565,NaN,NaN,5637,678,1599,9979,4200,4200,NaN,1467,600,800,80,82,16.4,4,8650,65
68,1150,California State University at Sacramento,CA,1,476,408,884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4348,3026,1234,NaN,NaN,13724,8161,1716,9096,4500,NaN,NaN,NaN,700,NaN,79,NaN,19.2,3,7530,47
69,1151,San Diego State University,CA,1,457,394,851,20,NaN,NaN,NaN,NaN,NaN,NaN,9402,7020,2151,20,70,16407,5550,1742,8384,5110,3556,NaN,NaN,612,2400,87,93,19.5,7,7930,41
70,1153,California State University at Northridge,CA,1,444,365,809,19,NaN,NaN,NaN,NaN,NaN,NaN,7672,5331,2157,NaN,33,15567,7544,1440,5904,5500,NaN,NaN,1520,576,1464,NaN,83,20.3,NaN,6691,43
71,1154,San Francisco State University,CA,1,444,372,816,19,400,510,290,450,16,22,5385,3539,1259,NaN,NaN,13165,5937,1584,8964,6776,NaN,NaN,352,630,2286,75,77,17.4,1,7651,55
72,1155,San Jose State University,CA,1,467,371,838,19,380,540,300,440,16,21,5210,4094,1420,NaN,NaN,14392,7263,1976,8820,4224,1680,2544,194,350,2204,72,74,17.4,6,5957,46
73,1156,Sonoma State University,CA,1,482,486,968,22,410,540,370,500,19,25,2726,982,557,47,84,4239,1259,NaN,7830,5189,3348,1841,2106,610,1650,79,86,16.1,1,7304,40
74,1157,California State University at Stanislaus,CA,1,449,400,849,19,NaN,NaN,NaN,NaN,NaN,NaN,1042,830,461,NaN,NaN,2895,1678,1584,8868,5300,NaN,NaN,NaN,650,NaN,89,94,15.3,9,7333,NaN
75,1158,United States International University,CA,2,464,431,895,19,380,570,350,490,NaN,NaN,322,168,51,NaN,NaN,237,67,11760,11760,4225,4225,NaN,90,630,1836,90,90,15.7,NaN,10317,23
76,1164,Chapman University,CA,2,501,456,957,22,430,560,400,500,19,24,959,771,351,23,48,1662,209,16624,16624,5895,5895,NaN,521,600,1100,72,80,12.8,6,12692,47
77,1170,Claremont McKenna College,CA,2,670,600,1270,28,620,720,560,640,26,30,1860,767,227,71,93,887,1,17000,17000,6010,3160,2850,140,500,850,99,99,9.6,52,18443,87
78,1171,Harvey Mudd College,CA,2,740,630,1370,NaN,710,770,580,690,NaN,NaN,1377,572,178,95,100,654,5,17230,17230,6690,3320,3370,465,700,900,100,100,8.2,46,21569,100
79,1172,Pitzer College,CA,2,590,560,1150,26,540,630,530,610,24,29,1133,630,220,37,73,750,30,17688,17688,5900,3192,2708,1548,650,850,100,100,10.4,11,14820,73
80,1173,Pomona College,CA,2,700,640,1340,31,650,730,600,680,NaN,NaN,3037,1130,390,80,98,1500,NaN,17720,17720,7220,NaN,NaN,180,800,1000,94,98,8.9,47,20682,91
81,1174,Scripps College,CA,2,590,560,1150,26,540,640,500,610,NaN,NaN,855,632,139,60,83,569,7,17238,17238,7350,3500,3850,112,600,800,95,100,8.2,41,18372,73
82,1179,College of Notre Dame,CA,2,NaN,NaN,NaN,NaN,390,510,380,470,18,23,344,264,97,11,42,500,331,12600,12600,5520,5520,NaN,NaN,630,2250,77,80,10.4,7,9773,43
83,1183,Holy Names College,CA,2,450,448,898,NaN,390,500,400,470,NaN,NaN,258,157,43,NaN,NaN,273,317,11480,11480,5280,NaN,NaN,290,630,2034,75,75,7.8,41,10362,44
84,1196,Dominican College of San Rafael,CA,2,452,432,884,NaN,390,520,380,470,NaN,NaN,213,173,75,NaN,NaN,648,150,12790,12790,6100,6100,NaN,250,650,2250,56,63,11.6,29,8966,50
85,1215,La Sierra University,CA,2,468,420,888,20,380,520,350,470,18,23,659,530,325,NaN,NaN,1067,268,12180,12180,3885,2160,1695,195,683,2438,69,76,12.6,14,8294,49
86,1216,University of La Verne,CA,2,472,431,903,22,400,540,362,475,16,25,1597,969,226,16,38,1431,1522,13540,13540,5050,5050,NaN,NaN,630,2298,66,68,14.1,23,10139,47
87,1236,Menlo College,CA,2,447,382,829,19,370,510,320,440,NaN,NaN,315,275,115,NaN,NaN,553,9,13975,13975,6200,6200,NaN,690,500,NaN,46,46,15.4,5,11304,NaN
88,1238,Mills College,CA,2,520,530,1050,25,480,600,470,610,NaN,NaN,529,414,132,32,66,781,43,14100,14100,6000,NaN,3000,442,600,1370,NaN,99,10.3,24,14299,64
89,1243,Mount St. Mary's College,CA,2,506,466,972,21,430,560,390,520,NaN,NaN,657,537,113,37,90,1039,466,12474,12474,5678,5678,NaN,425,630,1278,53,71,11.9,19,10613,72
90,1249,Occidental College,CA,2,570,510,1080,NaN,500,640,440,560,NaN,NaN,2324,1319,370,52,81,1686,35,16560,16560,5140,2980,2160,334,558,1152,91,93,10.5,30,16196,79
91,1252,Pacific Christian College,CA,2,474,426,900,22,400,540,340,490,20,26,167,142,89,9,41,414,165,6500,6500,3000,3000,NaN,490,500,NaN,38,38,10.7,6,5612,67
92,1253,Fresno Pacific College,CA,2,532,476,1008,22,470,590,410,530,20,25,346,274,146,51,87,704,63,9900,9900,3670,1500,2170,174,630,1818,59,59,10.5,14,8095,54
93,1258,Pacific Union College,CA,2,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,19,25,940,668,385,20,48,1316,139,11925,11925,3825,1590,2235,NaN,630,1926,48,87,12.3,12,9157,69
94,1262,Point Loma Nazarene College,CA,2,472,425,897,21,390,540,360,490,19,23,809,687,428,20,43,1889,217,10176,10178,4190,NaN,NaN,134,800,750,71,71,16.1,19,7895,54
95,1264,Pepperdine University,CA,2,585,514,1099,25,510,630,450,550,22,28,3821,2037,680,86,96,2488,625,18200,18200,6770,3750,3020,70,500,700,95,98,11.6,13,16185,66
96,1293,Southern California College,CA,2,466,443,909,21,360,540,350,480,19,26,385,340,193,18,38,784,127,9520,9520,4124,1980,2144,340,630,1818,63,65,18.6,11,8219,43
97,1302,St. Mary's College of California,CA,2,549,483,1032,NaN,501,598,432,538,NaN,NaN,2643,1611,465,36,80,2615,248,13332,13332,6354,3177,3177,120,630,1584,88,89,16.1,17,9619,78
98,1305,Stanford University,CA,2,736,665,1401,31,650,750,580,690,26,33,13608,2926,1616,88,97,6573,NaN,18669,18669,6795,NaN,NaN,NaN,840,1355,NaN,99,9.7,25,33629,96
99,1312,University of California at Berkeley,CA,1,654,564,1218,NaN,590,730,500,640,NaN,NaN,19873,8252,3215,95,100,19532,2061,3949,11648,6246,NaN,NaN,NaN,636,1933,93,97,15.8,10,13919,78
100,1313,University of California at Davis,CA,1,585,485,1070,24,520,650,420,560,21,27,16343,11399,3124,95,100,15429,1888,NaN,7699,5285,NaN,NaN,4374,841,2374,NaN,98,14.5,11,15873,76
101,1314,University of California at Irvine,CA,1,574,455,1029,NaN,510,640,390,510,NaN,NaN,15698,10775,2478,85,100,12677,864,4325,12024,5302,NaN,NaN,NaN,790,1818,96,96,16.1,11,15934,66
102,1315,University of California at Los Angeles,CA,1,621,520,1141,NaN,558,700,460,590,NaN,NaN,22165,10435,3591,93,100,21637,1255,NaN,7689,5580,NaN,NaN,3894,850,1255,97,99,11.8,9,20260,77
103,1316,University of California at Riverside,CA,1,542,440,982,23,470,620,360,510,19,25,9798,7566,1470,80,100,6922,265,NaN,7699,5430,NaN,NaN,4092,780,1350,98,99,13.4,8,12528,62
104,1317,University of California at San Diego,CA,1,616,515,1131,26,560,680,460,570,23,28,19433,11469,2481,95,100,13738,711,NaN,7699,6607,NaN,NaN,4128,630,1935,100,100,13.9,6,17674,66
105,1320,University of California at Santa Barbara,CA,1,547,459,1006,NaN,520,610,400,490,NaN,NaN,16663,14141,3239,90,100,15638,693,NaN,11218,5990,NaN,NaN,4372,630,2045,96,100,18.9,6,9475,69
106,1321,University of California at Santa Cruz,CA,1,554,505,1059,NaN,490,620,440,580,NaN,NaN,10758,8559,1717,94,100,8713,607,NaN,7699,6081,6081,NaN,4110,633,1191,94,100,21.3,10,10860,59
107,1322,University of Redlands,CA,2,NaN,NaN,NaN,NaN,470,610,450,540,21,26,1498,1219,306,26,63,1369,1587,16530,16530,6205,2795,3410,405,600,NaN,81,87,8.9,25,10685,73
108,1325,University of San Francisco,CA,2,514,463,977,21,450,590,390,520,20,25,2306,1721,538,23,48,4309,549,13226,13226,6452,3846,2606,100,750,2450,86,86,13.6,8,10074,62
109,1326,Santa Clara University,CA,2,NaN,NaN,NaN,NaN,520,630,440,540,NaN,NaN,4019,2779,888,40,73,3891,128,13584,13584,5928,5928,NaN,396,630,1278,88,92,13.9,19,10872,100
110,1328,University of Southern California,CA,2,592,498,1090,25,520,660,430,570,22,28,12229,8498,2477,45,71,13259,1429,17230,17230,6482,3566,2916,330,600,2210,90,94,11.4,10,17007,68
111,1329,University of the Pacific,CA,2,531,444,975,NaN,460,620,400,540,NaN,NaN,2459,1997,582,36,66,2664,299,16320,16320,5326,NaN,NaN,330,646,1171,87,94,11.2,14,13706,65
112,1341,Westmont College,CA,1,550,501,1051,24,480,620,450,550,22,26,950,713,351,42,72,1276,9,14320,14320,5304,3080,2224,866,490,1410,77,77,14.9,17,8837,87
113,1342,Whittier College,CA,2,507,454,961,NaN,430,580,390,510,NaN,NaN,1681,1069,344,35,63,1235,30,16249,16249,5699,5699,NaN,579,500,1998,84,92,13.6,29,11778,52
114,1343,Woodbury University,CA,2,441,381,822,20,380,500,320,430,17,22,349,313,111,NaN,NaN,765,191,13020,13020,5490,NaN,NaN,840,900,2160,28,60,13.5,2,6944,54
115,2741,University of Judaism,CA,2,551,489,1040,NaN,510,620,420,600,NaN,NaN,52,36,18,NaN,NaN,88,12,10560,10560,6200,NaN,NaN,428,825,2325,100,100,7.2,NaN,31012,55
116,3948,San Francisco Art Institute,CA,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177,136,41,NaN,NaN,438,103,14500,14500,5600,5600,NaN,NaN,1200,1620,NaN,100,14.4,NaN,9742,30
117,7993,California State Univ. at Bakersfield,CA,1,450,392,842,21,NaN,NaN,NaN,NaN,NaN,NaN,941,643,415,NaN,66,2571,1263,1204,8725,3475,NaN,3475,914,300,NaN,82,94,13.4,NaN,NaN,24
118,10395,University of San Diego,CA,2,548,490,1038,NaN,500,600,450,520,NaN,NaN,3934,2735,886,40,70,3698,217,13600,13600,5940,NaN,NaN,100,630,1820,93,96,15.6,13,10813,66
119,10448,Thomas Aquinas College,CA,2,589,583,1172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125,87,67,22,59,208,NaN,13400,13400,5200,NaN,NaN,NaN,300,1400,68,68,10.9,43,11513,71
120,11649,Loyola Marymount University,CA,2,549,485,1034,NaN,480,600,420,530,NaN,NaN,3768,2662,753,42,64,3558,436,13592,13592,5916,3276,2640,176,545,1328,84,88,14.2,10,11677,84
121,29059,Concordia University,CA,2,485,420,905,22,400,570,360,490,19,24,688,497,144,30,75,641,101,10800,10800,4440,2520,1920,690,570,1515,55,60,13.1,13,8415,55
122,1345,Adams State College,CO,1,NaN,NaN,NaN,21,NaN,NaN,NaN,NaN,18,24,1508,1259,569,16,44,1922,232,1386,1672,3730,1820,1910,374,520,2200,63,67,27.9,NaN,3897,60
123,1347,Colorado College,CO,2,NaN,NaN,NaN,NaN,560,670,510,620,25,30,3207,1577,490,56,87,1892,7,17142,17142,4190,2114,2076,120,450,1200,85,97,11.3,51,14664,84
124,1349,University of Northern Colorado,CO,1,480,440,920,22,420,540,380,480,19,24,5530,4007,1697,12,37,8463,1498,1829,7731,4128,NaN,NaN,398,540,2286,75,75,21.5,8,6309,40
125,1350,Colorado State University,CO,1,545,479,1024,25,490,610,430,540,22,27,9478,6312,2194,29,65,15646,1829,2124,8412,4180,4180,NaN,585,470,1800,87,89,19.2,10,7850,59
126,1353,Fort Lewis College,CO,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3440,2823,1123,16,35,3793,486,1450,6198,3320,1820,1500,327,500,2500,89,97,19.1,6,4362,46
